position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,VET,Germany Sebastian Vettel,Ferrari,2,52,,Finished,25,,,
2,HAM,United Kingdom Lewis Hamilton,Mercedes,1,52,,Finished,18,,,
3,RÄI,Finland Kimi Räikkönen,Ferrari,3,52,,Finished,15,,,
4,BOT,Finland Valtteri Bottas,Mercedes,4,52,,Finished,12,,,
5,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,6,52,,Finished,10,,,
6,HÜL,Germany Nico Hülkenberg,Renault,11,52,,Finished,8,,,
7,OCO,France Esteban Ocon,Force India-Mercedes,10,52,,Finished,6,,,
8,ALO,Spain Fernando Alonso,McLaren-Renault,13,52,,Finished,4,,,
9,MAG,Denmark Kevin Magnussen,Haas-Ferrari,7,52,,Finished,2,,,
10,PÉR,Mexico Sergio Pérez,Force India-Mercedes,12,52,,Finished,1,,,
11,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,17,52,,Finished,,,,
12,STR,Canada Lance Stroll,Williams-Mercedes,NaN,52,,Finished,,,,
13,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,14,52,,Finished,,,,
14,SIR,Russia Sergey Sirotkin,Williams-Mercedes,NaN,52,,Finished,,,,
15,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,5,46,,Finished,,,,
RET,GRO,France Romain Grosjean,Haas-Ferrari,8,37,,Finished,,,,
RET,JR.,Spain Carlos Sainz Jr.,Renault,16,37,,Finished,,,,
RET,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,15,31,,Finished,,,,
RET,LEC,Monaco Charles Leclerc,Sauber-Ferrari,9,18,,Finished,,,,
RET,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,NaN,1,,Finished,,,,
