position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,VET,Germany Sebastian Vettel,Ferrari,2,44,,Finished,25,,,
2,HAM,United Kingdom Lewis Hamilton,Mercedes,1,44,,Finished,18,,,
3,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,7,44,,Finished,15,,,
4,BOT,Finland Valtteri Bottas,Mercedes,17,44,,Finished,12,,,
5,PÉR,Mexico Sergio Pérez,Force India-Mercedes[note 1],4,44,,Finished,10,,,
6,OCO,France Esteban Ocon,Force India-Mercedes[note 1],3,44,,Finished,8,,,
7,GRO,France Romain Grosjean,Haas-Ferrari,5,44,,Finished,6,,,
8,MAG,Denmark Kevin Magnussen,Haas-Ferrari,9,44,,Finished,4,,,
9,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,10,44,,Finished,2,,,
10,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,13,43,,+1 lap,1,,,
11,JR.,Spain Carlos Sainz Jr.,Renault,19,43,,+1 lap,,,,
12,SIR,Russia Sergey Sirotkin,Williams-Mercedes,15,43,,+1 lap,,,,
13,STR,Canada Lance Stroll,Williams-Mercedes,16,43,,+1 lap,,,,
14,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,11,43,,+1 lap,,,,
15,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,20,43,,+1 lap,,,,
RET,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,8,31,,Finished,,,,
RET,RÄI,Finland Kimi Räikkönen,Ferrari,6,9,,Finished,,,,
RET,LEC,Monaco Charles Leclerc,Sauber-Ferrari,12,0,,Finished,,,,
RET,ALO,Spain Fernando Alonso,McLaren-Renault,14,0,,Finished,,,,
RET,HÜL,Germany Nico Hülkenberg,Renault,18,0,,Finished,,,,
