position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,4,71,,Finished,25,,,
2,RÄI,Finland Kimi Räikkönen,Ferrari,3,71,,Finished,18,,,
3,VET,Germany Sebastian Vettel,Ferrari,6,71,,Finished,15,,,
4,GRO,France Romain Grosjean,Haas-Ferrari,5,70,,+1 lap,12,,,
5,MAG,Denmark Kevin Magnussen,Haas-Ferrari,8,70,,+1 lap,10,,,
6,OCO,France Esteban Ocon,Force India-Mercedes,11,70,,+1 lap,8,,,
7,PÉR,Mexico Sergio Pérez,Force India-Mercedes,15,70,,+1 lap,6,,,
8,ALO,Spain Fernando Alonso,McLaren-Renault,NaN,70,,+1 lap,4,,,
9,LEC,Monaco Charles Leclerc,Sauber-Ferrari,17,70,,+1 lap,2,,,
10,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,18,70,,+1 lap,1,,,
11,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,12,70,,+1 lap,,,,
12,JR.,Spain Carlos Sainz Jr.,Renault,9,70,,+1 lap,,,,
13,SIR,Russia Sergey Sirotkin,Williams-Mercedes,16,69,,+2 laps,,,,
14,STR,Canada Lance Stroll,Williams-Mercedes,13,69,,+2 laps1,,,,
15,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,14,65,,Finished,,,,
RET,HAM,United Kingdom Lewis Hamilton,Mercedes,2,62,,Finished,,,,
RET,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,19,54,,Finished,,,,
RET,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,7,53,,Finished,,,,
RET,BOT,Finland Valtteri Bottas,Mercedes,1,13,,Finished,,,,
RET,HÜL,Germany Nico Hülkenberg,Renault,10,11,,Finished,,,,
