position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,1,71,,Finished,25,,,
2,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,5,71,,Finished,18,,,
3,RÄI,Finland Kimi Räikkönen,Ferrari,4,71,,Finished,15,,,
4,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,11,71,,Finished,12,,,
5,BOT,Finland Valtteri Bottas,Mercedes,3,71,,Finished,10,,,
6,VET,Germany Sebastian Vettel,Ferrari,2,71,,Finished,8,,,
7,LEC,Monaco Charles Leclerc,Sauber-Ferrari,7,71,,Finished,6,,,
8,GRO,France Romain Grosjean,Haas-Ferrari,8,71,,Finished,4,,,
9,MAG,Denmark Kevin Magnussen,Haas-Ferrari,10,71,,Finished,2,,,
10,PÉR,Mexico Sergio Pérez,Force India-Mercedes,12,70,,+1 lap,1,,,
11,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,16,70,,+1 lap,,,,
12,JR.,Spain Carlos Sainz Jr.,Renault,15,70,,+1 lap,,,,
13,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,9,70,,+1 lap,,,,
14,OCO,France Esteban Ocon,Force India-Mercedes,18,70,,+1 lap,,,,
15,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,20,70,,+1 lap1,,,,
16,SIR,Russia Sergey Sirotkin,Williams-Mercedes,14,69,,+2 laps,,,,
17,ALO,Spain Fernando Alonso,McLaren-Renault,17,69,,+2 laps1,,,,
18,STR,Canada Lance Stroll,Williams-Mercedes,19,69,,+2 laps,,,,
RET,HÜL,Germany Nico Hülkenberg,Renault,13,32,,Finished,,,,
RET,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,6,20,,Finished,,,,
