position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,VET,Germany Sebastian Vettel,Ferrari,1,57,,Finished,25,,,
2,BOT,Finland Valtteri Bottas,Mercedes,3,57,,Finished,18,,,
3,HAM,United Kingdom Lewis Hamilton,Mercedes,9,57,,Finished,15,,,
4,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,5,57,,Finished,12,,,
5,MAG,Denmark Kevin Magnussen,Haas-Ferrari,6,57,,Finished,10,,,
6,HÜL,Germany Nico Hülkenberg,Renault,7,57,,Finished,8,,,
7,ALO,Spain Fernando Alonso,McLaren-Renault,13,56,,+1 lap,6,,,
8,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,14,56,,+1 lap,4,,,
9,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,17,56,,+1 lap,2,,,
10,OCO,France Esteban Ocon,Force India-Mercedes,8,56,,+1 lap,1,,,
11,JR.,Spain Carlos Sainz Jr.,Renault,10,56,,+1 lap,,,,
12,LEC,Monaco Charles Leclerc,Sauber-Ferrari,19,56,,+1 lap,,,,
13,GRO,France Romain Grosjean,Haas-Ferrari,16,56,,+1 lap,,,,
14,STR,Canada Lance Stroll,Williams-Mercedes,20,56,,+1 lap,,,,
15,SIR,Russia Sergey Sirotkin,Williams-Mercedes,18,56,,+1 lap,,,,
16,PÉR,Mexico Sergio Pérez,Force India-Mercedes,12,56,,+1 lap,,,,
17,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,11,56,,+1 lap,,,,
RET,RÄI,Finland Kimi Räikkönen,Ferrari,2,35,,Finished,,,,
RET,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,15,3,,Finished,,,,
RET,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,4,1,,Finished,,,,
