position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,1,53,,Finished,25,,,
2,BOT,Finland Valtteri Bottas,Mercedes,2,53,,Finished,18,,,
3,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,3,53,,Finished,15,,,
4,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,15,53,,Finished,12,,,
5,RÄI,Finland Kimi Räikkönen,Ferrari,4,53,,Finished,10,,,
6,VET,Germany Sebastian Vettel,Ferrari,8,53,,Finished,8,,,
7,PÉR,Mexico Sergio Pérez,Force India-Mercedes,9,53,,Finished,6,,,
8,GRO,France Romain Grosjean,Haas-Ferrari,5,53,,Finished,4,,,
9,OCO,France Esteban Ocon,Force India-Mercedes,11,53,,Finished,2,,,
10,JR.,Spain Carlos Sainz Jr.,Renault,13,52,,+1 lap,1,,,
11,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,7,52,,+1 lap,,,,
12,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,20,52,,+1 lap,,,,
13,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,6,52,,+1 lap,,,,
14,ALO,Spain Fernando Alonso,McLaren-Renault,18,52,,+1 lap,,,,
15,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,19,52,,+1 lap,,,,
16,SIR,Russia Sergey Sirotkin,Williams-Mercedes,17,52,,+1 lap,,,,
17,STR,Canada Lance Stroll,Williams-Mercedes,14,52,,+1 lap,,,,
RET,LEC,Monaco Charles Leclerc,Sauber-Ferrari,10,38,,Finished,,,,
RET,HÜL,Germany Nico Hülkenberg,Renault,16,37,,Finished,,,,
RET,MAG,Denmark Kevin Magnussen,Haas-Ferrari,12,8,,Finished,,,,
