position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,14,67,,Finished,25,,,
2,BOT,Finland Valtteri Bottas,Mercedes,2,67,,Finished,18,,,
3,RÄI,Finland Kimi Räikkönen,Ferrari,3,67,,Finished,15,,,
4,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,4,67,,Finished,12,,,
5,HÜL,Germany Nico Hülkenberg,Renault,7,67,,Finished,10,,,
6,GRO,France Romain Grosjean,Haas-Ferrari,6,67,,Finished,8,,,
7,PÉR,Mexico Sergio Pérez,Force India-Mercedes,10,67,,Finished,6,,,
8,OCO,France Esteban Ocon,Force India-Mercedes,15,67,,Finished,4,,,
9,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,13,67,,Finished,2,,,
10,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,16,67,,Finished,1,,,
11,MAG,Denmark Kevin Magnussen,Haas-Ferrari,5,67,,Finished,,,,
12,JR.,Spain Carlos Sainz Jr.,Renault,8,67,,Finished,,,,
13,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,18,67,,Finished,,,,
14,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,20,66,,+1 lap,,,,
15,LEC,Monaco Charles Leclerc,Sauber-Ferrari,9,66,,+1 lap,,,,
16,ALO,Spain Fernando Alonso,McLaren-Renault,11,65,,Finished,,,,
RET,STR,Canada Lance Stroll,Williams-Mercedes,17,53,,Finished,,,,
RET,VET,Germany Sebastian Vettel,Ferrari,1,51,,Finished,,,,
RET,SIR,Russia Sergey Sirotkin,Williams-Mercedes,12,51,,Finished,,,,
RET,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,19,27,,Finished,,,,
