position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,VET,Germany Sebastian Vettel,Ferrari,1,68,,Finished,25,,,
2,BOT,Finland Valtteri Bottas,Mercedes,2,68,,Finished,18,,,
3,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,3,68,,Finished,15,,,
4,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,6,68,,Finished,12,,,
5,HAM,United Kingdom Lewis Hamilton,Mercedes,4,68,,Finished,10,,,
6,RÄI,Finland Kimi Räikkönen,Ferrari,5,68,,Finished,8,,,
7,HÜL,Germany Nico Hülkenberg,Renault,7,67,,+1 lap,6,,,
8,JR.,Spain Carlos Sainz Jr.,Renault,9,67,,+1 lap,4,,,
9,OCO,France Esteban Ocon,Force India-Mercedes,8,67,,+1 lap,2,,,
10,LEC,Monaco Charles Leclerc,Sauber-Ferrari,13,67,,+1 lap,1,,,
11,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,19,67,,+1 lap,,,,
12,GRO,France Romain Grosjean,Haas-Ferrari,20,67,,+1 lap,,,,
13,MAG,Denmark Kevin Magnussen,Haas-Ferrari,11,67,,+1 lap,,,,
14,PÉR,Mexico Sergio Pérez,Force India-Mercedes,10,67,,+1 lap,,,,
15,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,18,66,,+2 laps,,,,
16,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,15,66,,+2 laps,,,,
17,SIR,Russia Sergey Sirotkin,Williams-Mercedes,17,66,,+2 laps,,,,
RET,ALO,Spain Fernando Alonso,McLaren-Renault,14,40,,Finished,,,,
RET,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,12,0,,Finished,,,,
RET,STR,Canada Lance Stroll,Williams-Mercedes,16,0,,Finished,,,,
