position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,1,61,,Finished,25,,,
2,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,2,61,,Finished,18,,,
3,VET,Germany Sebastian Vettel,Ferrari,3,61,,Finished,15,,,
4,BOT,Finland Valtteri Bottas,Mercedes,4,61,,Finished,12,,,
5,RÄI,Finland Kimi Räikkönen,Ferrari,5,61,,Finished,10,,,
6,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,6,61,,Finished,8,,,
7,ALO,Spain Fernando Alonso,McLaren-Renault,11,61,,Finished,6,,,
8,JR.,Spain Carlos Sainz Jr.,Renault,12,60,,+1 lap,4,,,
9,LEC,Monaco Charles Leclerc,Sauber-Ferrari,13,60,,+1 lap,2,,,
10,HÜL,Germany Nico Hülkenberg,Renault,10,60,,+1 lap,1,,,
11,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,14,60,,+1 lap,,,,
12,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,18,60,,+1 lap,,,,
13,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,15,60,,+1 lap,,,,
14,STR,Canada Lance Stroll,Williams-Mercedes,20,60,,+1 lap,,,,
15,GRO,France Romain Grosjean,Haas-Ferrari,8,60,,+1 lap1,,,,
16,PÉR,Mexico Sergio Pérez,Force India-Mercedes,7,60,,+1 lap,,,,
17,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,17,60,,+1 lap,,,,
18,MAG,Denmark Kevin Magnussen,Haas-Ferrari,16,59,,+2 laps,,,,
19,SIR,Russia Sergey Sirotkin,Williams-Mercedes,19,59,,+2 laps,,,,
RET,OCO,France Esteban Ocon,Force India-Mercedes,9,0,,Finished,,,,
