position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,RÄI,Finland Kimi Räikkönen,Ferrari,2,56,,Finished,25,,,
2,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,18,56,,Finished,18,,,
3,HAM,United Kingdom Lewis Hamilton,Mercedes,1,56,,Finished,15,,,
4,VET,Germany Sebastian Vettel,Ferrari,5,56,,Finished,12,,,
5,BOT,Finland Valtteri Bottas,Mercedes,3,56,,Finished,10,,,
6,HÜL,Germany Nico Hülkenberg,Renault,7,56,,Finished,8,,,
7,JR.,Spain Carlos Sainz Jr.,Renault,11,56,,Finished,6,,,
8,PÉR,Mexico Sergio Pérez,Force India-Mercedes,10,56,,Finished,4,,,
9,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,20,55,,+1 lap,2,,,
10,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,16,55,,+1 lap,1,,,
11,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,17,55,,+1 lap,,,,
12,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,19,55,,+1 lap,,,,
13,SIR,Russia Sergey Sirotkin,Williams-Mercedes,14,55,,+1 lap,,,,
14,STR,Canada Lance Stroll,Williams-Mercedes,15,54,,+2 laps,,,,
RET,LEC,Monaco Charles Leclerc,Sauber-Ferrari,9,31,,Finished,,,,
RET,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,4,8,,Finished,,,,
RET,GRO,France Romain Grosjean,Haas-Ferrari,8,2,,Finished,,,,
RET,ALO,Spain Fernando Alonso,McLaren-Renault,13,1,,Finished,,,,
RET,OCO,France Esteban Ocon,Force India-Mercedes,6,56,,Finished,,,,
RET,MAG,Denmark Kevin Magnussen,Haas-Ferrari,12,56,,Finished,,,,
