position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,2,53,,Finished,25,,,
2,BOT,Finland Valtteri Bottas,Mercedes,1,53,,Finished,18,,,
3,VET,Germany Sebastian Vettel,Ferrari,3,53,,Finished,15,,,
4,RÄI,Finland Kimi Räikkönen,Ferrari,4,53,,Finished,12,,,
5,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,19,53,,Finished,10,,,
6,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,18,53,,Finished,8,,,
7,LEC,Monaco Charles Leclerc,Sauber-Ferrari,7,53,,Finished,6,,,
8,MAG,Denmark Kevin Magnussen,Haas-Ferrari,5,52,,+1 lap,4,,,
9,OCO,France Esteban Ocon,Force India-Mercedes,6,52,,+1 lap,2,,,
10,PÉR,Mexico Sergio Pérez,Force India-Mercedes,8,52,,+1 lap,1,,,
11,GRO,France Romain Grosjean,Haas-Ferrari,9,52,,+1 lap,,,,
12,HÜL,Germany Nico Hülkenberg,Renault,12,52,,+1 lap,,,,
13,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,10,52,,+1 lap,,,,
14,ALO,Spain Fernando Alonso,McLaren-Renault,16,52,,+1 lap,,,,
15,STR,Canada Lance Stroll,Williams-Mercedes,14,52,,+1 lap,,,,
16,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,15,51,,+2 laps,,,,
17,JR.,Spain Carlos Sainz Jr.,Renault,11,51,,+2 laps,,,,
18,SIR,Russia Sergey Sirotkin,Williams-Mercedes,13,51,,+2 laps,,,,
RET,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,17,4,,Finished,,,,
RET,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,20,4,,Finished,,,,
