position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,VET,Germany Sebastian Vettel,Ferrari,3,58,,Finished,25,,,
2,HAM,United Kingdom Lewis Hamilton,Mercedes,1,58,,Finished,18,,,
3,RÄI,Finland Kimi Räikkönen,Ferrari,2,58,,Finished,15,,,
4,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,8,58,,Finished,12,,,
5,ALO,Spain Fernando Alonso,McLaren-Renault,10,58,,Finished,10,,,
6,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,4,58,,Finished,8,,,
7,HÜL,Germany Nico Hülkenberg,Renault,7,58,,Finished,6,,,
8,BOT,Finland Valtteri Bottas,Mercedes,15,58,,Finished,4,,,
9,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,11,58,,Finished,2,,,
10,JR.,Spain Carlos Sainz Jr.,Renault,9,58,,Finished,1,,,
11,PÉR,Mexico Sergio Pérez,Force India-Mercedes,12,58,,Finished,,,,
12,OCO,France Esteban Ocon,Force India-Mercedes,14,58,,Finished,,,,
13,LEC,Monaco Charles Leclerc,Sauber-Ferrari,18,58,,Finished,,,,
14,STR,Canada Lance Stroll,Williams-Mercedes,13,58,,Finished,,,,
15,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,16,57,,+1 lap,,,,
RET,GRO,France Romain Grosjean,Haas-Ferrari,6,24,,Finished,,,,
RET,MAG,Denmark Kevin Magnussen,Haas-Ferrari,5,22,,Finished,,,,
RET,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,20,13,,Finished,,,,
RET,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,17,5,,Finished,,,,
RET,SIR,Russia Sergey Sirotkin,Williams-Mercedes,19,4,,Finished,,,,
