position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,1,70,,Finished,25,,,
2,VET,Germany Sebastian Vettel,Ferrari,4,70,,Finished,18,,,
3,RÄI,Finland Kimi Räikkönen,Ferrari,3,70,,Finished,15,,,
4,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,12,70,,Finished,12,,,
5,BOT,Finland Valtteri Bottas,Mercedes,2,70,,Finished,10,,,
6,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,6,70,,Finished,8,,,
7,MAG,Denmark Kevin Magnussen,Haas-Ferrari,9,69,,+1 lap,6,,,
8,ALO,Spain Fernando Alonso,McLaren-Renault,11,69,,+1 lap,4,,,
9,JR.,Spain Carlos Sainz Jr.,Renault,5,69,,+1 lap,2,,,
10,GRO,France Romain Grosjean,Haas-Ferrari,10,69,,+1 lap,1,,,
11,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,8,69,,+1 lap,,,,
12,HÜL,Germany Nico Hülkenberg,Renault,13,69,,+1 lap,,,,
13,OCO,France Esteban Ocon,Force India-Mercedes,17,69,,+1 lap,,,,
14,PÉR,Mexico Sergio Pérez,Force India-Mercedes,18,69,,+1 lap,,,,
15,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,14,68,,+2 laps,,,,
16,SIR,Russia Sergey Sirotkin,Williams-Mercedes,19,68,,+2 laps,,,,
17,STR,Canada Lance Stroll,Williams-Mercedes,NaN,68,,+2 laps,,,,
RET,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,15,49,,Finished,,,,
RET,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,7,5,,Finished,,,,
RET,LEC,Monaco Charles Leclerc,Sauber-Ferrari,16,0,,Finished,,,,
