position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,6,56,,Finished,25,,,
2,BOT,Finland Valtteri Bottas,Mercedes,3,56,,Finished,18,,,
3,RÄI,Finland Kimi Räikkönen,Ferrari,2,56,,Finished,15,,,
4,HAM,United Kingdom Lewis Hamilton,Mercedes,4,56,,Finished,12,,,
5,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,5,56,,Finished,10,,,
6,HÜL,Germany Nico Hülkenberg,Renault,7,56,,Finished,8,,,
7,ALO,Spain Fernando Alonso,McLaren-Renault,13,56,,Finished,6,,,
8,VET,Germany Sebastian Vettel,Ferrari,1,56,,Finished,4,,,
9,JR.,Spain Carlos Sainz Jr.,Renault,9,56,,Finished,2,,,
10,MAG,Denmark Kevin Magnussen,Haas-Ferrari,11,56,,Finished,1,,,
11,OCO,France Esteban Ocon,Force India-Mercedes,12,56,,Finished,,,,
12,PÉR,Mexico Sergio Pérez,Force India-Mercedes,8,56,,Finished,,,,
13,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,14,56,,Finished,,,,
14,STR,Canada Lance Stroll,Williams-Mercedes,18,56,,Finished,,,,
15,SIR,Russia Sergey Sirotkin,Williams-Mercedes,16,56,,Finished,,,,
16,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,20,56,,Finished,,,,
17,GRO,France Romain Grosjean,Haas-Ferrari,10,56,,Finished,,,,
18,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,17,56,,Finished,,,,
19,LEC,Monaco Charles Leclerc,Sauber-Ferrari,19,56,,Finished,,,,
20,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,15,51,,Finished,,,,
