position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,3,53,,Finished,25,,,
2,RÄI,Finland Kimi Räikkönen,Ferrari,1,53,,Finished,18,,,
3,BOT,Finland Valtteri Bottas,Mercedes,4,53,,Finished,15,,,
4,VET,Germany Sebastian Vettel,Ferrari,2,53,,Finished,12,,,
5,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,5,53,,Finished,10,,,
6,OCO,France Esteban Ocon,Force India-Mercedes,8,53,,Finished,8,,,
7,PÉR,Mexico Sergio Pérez,Force India-Mercedes,14,53,,Finished,6,,,
8,JR.,Spain Carlos Sainz Jr.,Renault,7,53,,Finished,4,,,
9,STR,Canada Lance Stroll,Williams-Mercedes,10,52,,+1 lap,2,,,
10,SIR,Russia Sergey Sirotkin,Williams-Mercedes,12,52,,+1 lap,1,,,
11,LEC,Monaco Charles Leclerc,Sauber-Ferrari,15,52,,+1 lap,,,,
12,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,17,52,,+1 lap,,,,
13,HÜL,Germany Nico Hülkenberg,Renault,20,52,,+1 lap,,,,
14,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,9,52,,+1 lap,,,,
15,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,18,52,,+1 lap,,,,
16,MAG,Denmark Kevin Magnussen,Haas-Ferrari,11,52,,+1 lap,,,,
RET,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,19,23,,Finished,,,,
RET,ALO,Spain Fernando Alonso,McLaren-Renault,13,9,,Finished,,,,
RET,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,16,0,,Finished,,,,
RET,GRO,France Romain Grosjean,Haas-Ferrari,6,53,,Finished,,,,
