position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,2,51,,Finished,25,,,
2,RÄI,Finland Kimi Räikkönen,Ferrari,6,51,,Finished,18,,,
3,PÉR,Mexico Sergio Pérez,Force India-Mercedes,8,51,,Finished,15,,,
4,VET,Germany Sebastian Vettel,Ferrari,1,51,,Finished,12,,,
5,JR.,Spain Carlos Sainz Jr.,Renault,9,51,,Finished,10,,,
6,LEC,Monaco Charles Leclerc,Sauber-Ferrari,13,51,,Finished,8,,,
7,ALO,Spain Fernando Alonso,McLaren-Renault,12,51,,Finished,6,,,
8,STR,Canada Lance Stroll,Williams-Mercedes,10,51,,Finished,4,,,
9,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,16,51,,Finished,2,,,
10,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,19,51,,Finished,1,,,
11,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,18,51,,Finished,,,,
12,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,17,51,,Finished,,,,
13,MAG,Denmark Kevin Magnussen,Haas-Ferrari,15,51,,Finished,,,,
14,BOT,Finland Valtteri Bottas,Mercedes,3,48,,Finished,,,,
RET,GRO,France Romain Grosjean,Haas-Ferrari,20,42,,Finished,,,,
RET,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,5,39,,Finished,,,,
RET,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,4,39,,Finished,,,,
RET,HÜL,Germany Nico Hülkenberg,Renault,14,10,,Finished,,,,
RET,OCO,France Esteban Ocon,Force India-Mercedes,7,0,,Finished,,,,
RET,SIR,Russia Sergey Sirotkin,Williams-Mercedes,11,0,,Finished,,,,
