position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,1,78,,Finished,25,,,
2,VET,Germany Sebastian Vettel,Ferrari,2,78,,Finished,18,,,
3,HAM,United Kingdom Lewis Hamilton,Mercedes,3,78,,Finished,15,,,
4,RÄI,Finland Kimi Räikkönen,Ferrari,4,78,,Finished,12,,,
5,BOT,Finland Valtteri Bottas,Mercedes,5,78,,Finished,10,,,
6,OCO,France Esteban Ocon,Force India-Mercedes,6,78,,Finished,8,,,
7,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,10,78,,Finished,6,,,
8,HÜL,Germany Nico Hülkenberg,Renault,11,78,,Finished,4,,,
9,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,20,78,,Finished,2,,,
10,JR.,Spain Carlos Sainz Jr.,Renault,8,78,,Finished,1,,,
11,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,16,78,,Finished,,,,
12,PÉR,Mexico Sergio Pérez,Force India-Mercedes,9,78,,Finished,,,,
13,MAG,Denmark Kevin Magnussen,Haas-Ferrari,19,78,,Finished,,,,
14,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,12,77,,+1 lap,,,,
15,GRO,France Romain Grosjean,Haas-Ferrari,18,77,,+1 lap,,,,
16,SIR,Russia Sergey Sirotkin,Williams-Mercedes,13,77,,+1 lap,,,,
17,STR,Canada Lance Stroll,Williams-Mercedes,17,76,,+2 laps,,,,
18,LEC,Monaco Charles Leclerc,Sauber-Ferrari,14,70,,Finished,,,,
19,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,15,70,,Finished,,,,
RET,ALO,Spain Fernando Alonso,McLaren-Renault,7,52,,Finished,,,,
